station_name	latitude	longitude	elevation	Instrumentation	start_date	start_time
TAP053	24.96	121.516	001	ETNA	1 0019	08140
TAP053	24.958	121.525	001	ETNA	1 0814	19142
TAP053	24.958	121.525	379	SMTA	1 1914	99999
TAP054	24.998	121.434	052	A900	1 9309	00191
TAP054	24.998	121.434	572	ETNA	1 0019	01232
TAP054	24.998	121.434	560	A900	1 0123	05243
TAP054	24.998	121.434	560	A900	1 0613	08140
TAP054	24.997	121.442	560	A900	1 0814	09191
TAP054	24.997	121.442	210	SMTA	1 0919	99999
TAP055	25.165	121.441	132	A900	1 9309	08140
TAP055	25.163	121.449	132	A900	1 0814	12240
TAP055	25.163	121.449	138	NANO	1 1224	99999
TAP056	25.163	121.536	326	A900	1 9412	95033
TAP056	25.163	121.536	048	A900	1 9503	96073
TAP056	25.163	121.536	629	K2	9607	00131
TAP056	25.163	121.536	986	ETNA	0013	04141
TAP056	25.163	121.536	573	ETNA	0413	04171
TAP056	25.163	121.536	985	ETNA	0414	07201
TAP056	25.163	121.536	480	A900	1 0720	08140
TAP056	25.162	121.545	480	A900	1 0814	99999
TAP056	25.162	121.545	226	NANO	1 1316	15190
TAP056	25.162	121.545	205	NANO	1 1519	16200
TAP056	25.162	121.545	226	NANO	1 1620	99999
TAP057	25.082	121.686	099	A900	1 9309	94113
TAP057	25.082	121.686	394	A900	9412	96110
TAP057	25.082	121.686	394	A900	9704	98032
TAP057	25.082	121.686	981	ETNA	9803	01223
TAP057	25.082	121.686	479	A900	0123	08140
TAP057	25.08	121.694	479	A900	0814	13240
TAP057	25.08	121.694	330	NANO	1 1324	99999
TAP058	25.127	121.713	040	A900	1 9309	96030
TAP058	25.127	121.713	040	A900	1 9608	98052
TAP058	25.127	121.713	040	A900	1 9805	08140
TAP058	25.125	121.722	040	A900	1 0814	13240
TAP058	25.125	121.722	367	NANO	1 1324	99999
TAP059	25.157	121.686	023	A900	1 9309	08140
TAP059	25.155	121.694	023	A900	1 0814	12240
TAP059	25.157	121.693	151	NANO	1 1224	17232
TAP059	25.155	121.694	151	NANO	1 1723	99999
TAP060	25.157	121.722	038	A900	1 9309	95122
TAP060	25.157	121.722	038	A900	1 9604	08140
TAP060	25.153	121.731	038	A900	1 0814	12240
TAP060	25.155	121.73	154	NANO	1 1224	99999
TAP061	25.132	121.752	139	A900	1 9309	08140
TAP061	25.13	121.76	139	A900	1 0814	12240
TAP061	25.132	121.76	166	NANO	1 1224	17232
TAP061	25.132	121.761	166	NANO	1 1723	99999
TAP062	25.127	121.778	247	A900	1 9309	08140
TAP062	25.125	121.786	247	A900	1 0814	10150
TAP063	25.107	121.73	048	A900	1 9309	94111
TAP063	25.107	121.73	415	A900	1 9510	98032
TAP063	25.107	121.73	469	IDSA	1 9805	00193
TAP063	25.107	121.73	126	A900	0020	08140
TAP063	25.105	121.738	126	A900	0814	13240
TAP063	25.105	121.738	382	NANO	1 1324	99999
TAP064	25.148	121.767	033	A900	1 9312	96073
TAP065	25.15	121.765	370	A900	9412	98031
TAP065	25.15	121.765	983	ETNA	1 9803	98121
TAP065	25.15	121.765	331	A900	1 9812	99073
TAP065	25.15	121.765	331	A900	1 9908	08140
TAP065	25.148	121.773	331	A900	1 0814	09200
TAP065	25.148	121.773	250	SMTA	1 0920	99999
TAP066	25.183	121.521	305	IDS	9209	94081
TAP066	25.183	121.521	147	A900	1 9309	94101
TAP066	25.183	121.521	403	A900	1 9410	08140
TAP066	25.182	121.529	403	A900	1 0814	09190
TAP066	25.182	121.529	299	SMTA	1 0919	99999
TAP067	24.978	121.584	146	A900	1 9308	94102
TAP067	24.978	121.584	399	A900	1 9410	08140
TAP067	24.977	121.592	399	A900	1 0814	09201
TAP067	24.977	121.592	184	SMTA	1 0920	17153
TAP067	24.977	121.592	291	SMTA	1 1716	99999
TAP068	24.877	121.534	062	A900	1 9308	94101
TAP068	24.877	121.534	380	A900	1 9410	96073
TAP069	25.008	121.989	163	A900	1 9309	94110
TAP069	25.008	121.989	306	A900	1 9411	08140
TAP069	25.007	121.997	306	A900	1 0814	08201
TAP069	25.008	121.989	520	SMTA	1 0722	08140
TAP069	25.007	121.997	520	SMTA	1 0814	08201
TAP069	25.007	121.997	520	SMTA	1 0820	17153
TAP069	25.007	121.997	150	SMTA	1 1716	99999
TAP069	25.007	121.997	436	NANO	1 1716	99999
TAP070	25.123	121.912	397	A900	9412	96073
TAP070	25.123	121.912	026	A900	0013	08140
TAP070	25.122	121.92	026	A900	0814	13240
TAP070	25.122	121.92	364	NANO	1 1324	99999
TAP071	25.003	121.609	486	IDSA	9501	06211
TAP071	25.003	121.609	284	SMTA	1 0621	08140
TAP071	25.002	121.617	284	SMTA	1 0814	10231
TAP071	25.002	121.617	412	A900	1 1023	13232
TAP071	25.002	121.617	220	NANO	1 1316	99999
TAP072	24.992	121.65	448	IDSA	9501	06210
TAP072	24.992	121.65	279	SMTA	1 0621	08140
TAP072	24.99	121.659	279	SMTA	1 0814	10231
TAP072	24.99	121.659	391	A900	1 1023	13222
TAP072	24.99	121.659	223	NANO	1 1317	99999
TAP073	25.008	121.68	473	IDSA	9501	95122
TAP073	25.008	121.68	481	A900	0115	05182
TAP073	25.008	121.68	467	IDSA	0518	06210
TAP073	25.008	121.68	287	SMTA	1 0621	08140
TAP073	25.007	121.688	287	SMTA	1 0814	10231
TAP073	25.007	121.688	318	A900	1023	15232
TAP073	25.007	121.689	326	SMTA	1 1523	99999
TAP074	24.953	121.628	515	IDSA	9501	06210
TAP074	24.953	121.628	305	SMTA	1 0621	08140
TAP074	24.952	121.636	305	SMTA	1 0814	10231
TAP074	24.952	121.636	483	A900	1023	14132
TAP074	24.952	121.636	236	NANO	1 1316	16172
TAP074	24.952	121.637	413	SMTA	1 1617	99999
TAP075	25.028	121.729	437	IDSA	9501	06210
TAP075	25.028	121.729	321	SMTA	1 0621	08140
TAP075	25.027	121.737	321	SMTA	1 0814	13192
TAP075	25.027	121.737	243	NANO	1 1316	16171
TAP075	25.027	121.737	412	SMTA	1 1617	18221
TAP075	25.027	121.737	450	NANO	1 1822	99999
TAP076	25.045	121.77	484	IDSA	9501	05221
TAP076	25.045	121.77	173	SMTA	1 0522	08140
TAP076	25.043	121.778	173	SMTA	1 0814	99999
TAP077	25.063	121.843	470	IDSA	9501	01212
TAP077	25.063	121.843	576	A900	0222	08140
TAP077	25.062	121.852	576	A900	0814	14243
TAP077	25.062	121.851	235	SMTA	1 1424	99999
TAP078	25.035	121.858	433	IDSA	9501	06210
TAP078	25.035	121.858	386	SMTA	1 0621	08140
TAP078	25.033	121.867	386	SMTA	1 0814	14132
TAP078	25.033	121.867	249	NANO	1 1316	99999
TAP079	25.023	121.907	432	IDSA	9503	05221
TAP079	25.023	121.907	162	SMTA	1 0522	08140
TAP079	25.022	121.915	162	SMTA	1 0814	10232
TAP079	25.022	121.915	382	A900	1024	15231
TAP079	25.022	121.915	294	SMTA	1 1523	99999
TAP080	25.018	121.94	458	IDSA	9501	05211
TAP080	25.018	121.94	458	IDSA	0615	06211
TAP080	25.018	121.94	291	SMTA	1 0621	08140
TAP080	25.017	121.949	291	SMTA	1 0814	10232
TAP080	25.017	121.949	311	A900	1 1024	13192
TAP080	25.017	121.949	229	NANO	1 1316	99999
TAP081	25.018	121.981	444	IDSA	9501	06211
TAP081	25.018	121.981	278	SMTA	1 0621	08140
TAP081	25.015	121.989	278	SMTA	1 0814	10232
TAP081	25.015	121.989	580	A900	1 1024	99999
TAP082	25.055	121.917	441	IDSA	9501	06211
TAP082	25.055	121.917	343	SMTA	1 0621	08140
TAP082	25.053	121.925	343	SMTA	1 0814	10232
TAP082	25.055	121.926	301	A900	1 1024	99999
TAP083	25.258	121.494	452	IDSA	9501	97052
TAP083	25.258	121.494	452	IDSA	9806	06211
TAP083	25.258	121.494	363	SMTA	1 0621	08140
TAP083	25.257	121.502	363	SMTA	1 0814	13232
TAP083	25.257	121.503	240	NANO	1 1316	99999
TAP084	25.225	121.629	506	IDSA	9501	06211
TAP084	25.225	121.629	296	SMTA	1 0621	08140
TAP084	25.223	121.637	296	SMTA	1 0814	10210
TAP084	25.223	121.637	404	A900	1 1021	13192
TAP084	25.222	121.637	248	NANO	1 1316	99999
TAP085	24.94	121.704	467	IDSA	9501	05182
TAP085	24.94	121.704	481	A900	1 0518	05243
TAP085	24.94	121.704	481	A900	1 0613	08140
TAP085	24.938	121.712	481	A900	1 0814	09190
TAP085	24.938	121.712	534	SMTA	1 0919	99999
TAP085	24.938	121.712	237	NANO	1 1317	14132
TAP085	24.938	121.712	429	NANO	1 1413	99999
TAP086	24.952	121.567	420	A900	9410	95053
TAP086	24.952	121.567	210	A900	1 9506	08140
TAP086	24.95	121.576	210	A900	1 0814	13241
TAP086	24.95	121.576	339	NANO	1 1324	99999
TAP087	25.103	121.415	308	A900	1 9412	08140
TAP087	25.1	121.423	308	A900	1 0814	08220
TAP087	25.1	121.423	191	SMTA	1 0822	99999
TAP088	25.038	121.578	500	IDSA	9502	99082
TAP088	25.038	121.578	574	ETNA	9908	08140
TAP088	25.037	121.586	574	ETNA	1 0814	99999
TAP089	25.027	121.559	485	IDSA	9502	99082
TAP089	25.027	121.559	994	ETNA	9908	08140
TAP089	25.023	121.568	994	ETNA	1 0814	99999
TAP090	25.057	121.595	465	IDSA	9502	99082
TAP090	25.057	121.595	575	ETNA	9908	01212
TAP090	25.057	121.595	580	A900	1 0222	08140
TAP090	25.055	121.603	580	A900	1 0814	10232
TAP090	25.055	121.603	162	SMTA	1 1024	99999
TAP091	25.062	121.582	493	IDSA	9502	99081
TAP091	25.062	121.582	584	ETNA	9908	01130
TAP091	25.062	121.582	584	ETNA	0216	08140
TAP091	25.06	121.59	584	ETNA	0814	09140
TAP091	25.06	121.591	584	ETNA	1 0917	99999
TAP092	25.065	121.556	479	IDSA	9502	99081
TAP092	25.065	121.556	579	ETNA	9908	08140
TAP092	25.063	121.564	579	ETNA	1 0814	99999
TAP093	25.085	121.558	483	IDSA	9502	99081
TAP093	25.085	121.558	506	A900	0116	05181
TAP093	25.085	121.558	582	ETNA	0518	08140
TAP093	25.083	121.566	582	ETNA	1 0814	99999
TAP094	25.142	121.475	501	IDSA	9502	99081
TAP094	25.142	121.475	570	ETNA	9908	05161
TAP094	25.142	121.475	986	ETNA	0516	08140
TAP094	25.14	121.484	986	ETNA	0814	14132
