station_name	lattitude	longitude	elevation	Instrumentation
TCU095	24.69	121.0122	093	A900
TCU095	24.6883	121.0212	190	CV57
TCU095	24.6883	121.02	159	SMTA
TCU095	24.6883	121.02	582	NANO
TCU096	24.7917	120.966	044	A900
TCU096	24.7917	120.966	152	NANO
TCU097	24.7883	120.928	163	A900
TCU097	24.7883	120.9273	212	NANO
TCU098	24.7417	120.9072	087	A900
TCU098	24.7417	120.9072	340	SMTA
TCU099	24.135	120.6988	362	A900
TCU099	24.135	120.6993	206	SMTA
TCU099	24.135	120.6993	448	NANO
TCU100	24.1833	120.625	440	A900
TCU100	24.1833	120.625	154	SMTA
TCU101	24.2383	120.7172	569	A900
TCU101	24.2383	120.7172	182	SMTA
TCU102	24.2467	120.7287	410	A900
TCU102	24.2467	120.7287	156	SMTA
TCU102	24.2467	120.7287	557	NANO
TCU103	24.3067	120.715	078	A900
TCU103	24.3067	120.715	207	NANO
TCU104	24.245	120.6013	179	A900
TCU104	24.2433	120.6092	208	SMTA
TCU104	24.2433	120.6092	555	NANO
TCU105	24.2367	120.5677	374	A900
TCU105	24.2367	120.5678	318	SMTA
TCU106	24.0817	120.5568	378	A900
TCU106	24.0817	120.5568	322	SMTA
TCU107	24.07	120.547	159	A900
TCU107	24.0717	120.5468	320	NANO
TCU107	24.0717	120.5468	176	SMTA
TCU108	24.0833	120.5323	019	A900
TCU108	24.0833	120.5325	366	NANO
TCU109	24.0817	120.58	017	A900
TCU109	24.0817	120.5807	128	NANO
TCU110	23.96	120.58	357	A900
TCU110	23.96	120.5798	316	SMTA
TCU111	24.1117	120.4948	149	A900
TCU111	24.1117	120.4948	304	NANO
TCU112	24.055	120.4303	065	A900
TCU112	24.055	120.4303	189	NANO
TCU113	23.89	120.3952	141	A900
TCU113	23.89	120.3953	139	NANO
TCU114	23.8783	120.5145	418	IDSA
TCU114	23.8783	120.5145	036	A900
TCU115	23.9567	120.4778	222	A900
TCU115	23.9567	120.4778	190	NANO
TCU116	23.855	120.5883	196	A900
TCU116	23.855	120.5888	197	NANO
TCU117	24.1317	120.4683	240	A900
TCU117	24.1317	120.4683	143	NANO
TCU118	24.0	120.4315	084	A900
TCU118	24.0	120.4315	319	NANO
TCU119	23.9217	120.3202	148	A900
TCU119	23.9217	120.3203	137	NANO
TCU120	23.9767	120.621	357	A900
TCU120	23.9767	120.6213	176	SMTA
TCU120	23.9767	120.6213	320	NANO
TCU121	23.8933	120.459	152	A900
TCU121	23.8933	120.459	344	NANO
TCU122	23.81	120.6178	519	A900
TCU122	23.8117	120.618	293	SMTA
