201904180501 07.1124 3.2612133.55 20.336.3299  4.0 330.33 0.2 0.1 F674B 16180500.P19663   
 ILA034 3   86.76   10.12  17.52  23.10 300.0 M3610800.SMT SMTA 20190418050000.   17.     
 MTN105 3   86.98   15.38  14.57  14.47  82.0 T255001.108  A900 20190418050101.  358.     
 TCU102 3   87.05    4.84   7.60   8.48 215.3 55710800.MNS NANO 20190418050027.  284.     
 MTN125 4   87.21   10.66  34.34  19.98 204.9 14110800.MNS NANO 20190418050026.    6.     
 TRB017 2   87.24    3.72   6.58   7.80  56.0 01010800.CVA CVA  20190418045944.  285.     
 TCU065 4   87.39   10.68  25.36  20.84 233.0 16510800.MNS NANO 20190418050026.  270.     
 TCU157 3   87.58    7.22  11.74   9.78 240.0 N0410800.SMT SMTA 20190418050000.  269.     
 CHY121 3   87.64    0.00  12.24  13.58 120.0 F3510800.SMT SMTA 20190418050100.  224.     
 ILA035 4   87.67   12.30  28.74  28.88 231.9 53810800.MNS NANO 20190418050024.   14.     
 TCU099 3   87.89    3.64   7.92   9.32 207.0 44810800.MNS NANO 20190418050026.  276.     
 TCU150 3   87.91    5.46  11.42  14.26 227.3 42810800.MNS NANO 20190418050028.  258.     
 TCU101 2   87.99    6.52   5.48   7.02 240.0 L8210800.SMT SMTA 20190418050000.  283.     
 TCU028 3   88.01    9.18  15.76  14.22 234.1 17110800.MNS NANO 20190418050026.  324.     
 TRB040 4   88.14   12.38  30.10  37.54  82.0 01910800.CVA CVA  20190418045928.   14.     
 TCU156 2   88.31    4.02   6.16   4.22 240.0 L9810800.SMT SMTA 20190418050000.  285.     
 TCU049 3   88.42    6.50   7.12   8.82 206.7 55410800.MNS NANO 20190418050026.  279.     
 MND007 3   88.43    4.12   6.92   8.38  40.0 T507001.245  A900 20190418050118.  277.     
 TCU199 3   88.45    4.26  11.52   9.66 240.0 N5710800.SMT SMTA 20190418050000.  253.     
 TCU066 3   88.66    7.12   9.04  10.88 205.0 55110800.MNS NANO 20190418050026.  281.     
 TCU058 2   88.70    5.20   7.32   5.44 240.0 M0010800.SMT SMTA 20190418050000.  284.     
 TCU184 3   88.81    7.68  11.72   0.00 225.3 50010800.MNS NANO 20190418050028.  248.     
 TCU210 3   89.01    9.92  19.66  21.88 300.0 C1510800.SMT SMTA 20190418050000.  334.     
 TCU075 3   89.02    8.40   9.88   9.18 120.0 F0710800.SMT SMTA 20190418050100.  265.     
 TCU095 3   89.04    8.88  18.46  16.22 228.8 58210800.MNS NANO 20190418050025.  322.     
 TCU125 3   89.08    7.88  24.56  20.50 230.6 21810800.MNS NANO 20190418050027.  263.     
 TRB018 3   89.10    4.96   7.14   8.98  49.0 00910800.CVA CVA  20190418045012.  276.     
 TCU062 3   89.22    7.24  13.42  12.54 218.5 56210800.MNS NANO 20190418050026.  274.     
 TCU024 4   89.32    9.04  25.40  27.64 120.0 D5910800.SMT SMTA 20190418050100.  328.     
 TCU044 3   89.35    7.86   9.70  12.36 240.0 O1910800.SMT SMTA 20190418050000.  296.     
 MTN122 3   89.42    9.66  13.14  11.30 202.4 40210800.MNS NANO 20190418050027.  352.     
 TRB006 3   89.48    8.22  10.38  10.38  66.0 03710800.CVA CVA  20190418050018.  297.     
 TCU082 3   89.53    4.40   7.90   9.64  60.0 C4510800.SMT SMTA 20190418050100.  276.     
 TCU128 3   89.55    6.96  10.96   8.28 120.0 B8310800.SMT SMTA 20190418050100.  296.     
 TCU124 3   89.61   10.10  14.08  18.58 240.0 L7510800.SMT SMTA 20190418050000.  260.     
 TAP124 3   89.64   11.18  14.10  18.54 200.3 57410800.MNS NANO 20190418050026.    0.     
 TCU054 3   89.65    4.48   6.48  10.74 213.0 23810800.MNS NANO 20190418050027.  278.     
 TCU172 3   89.74    4.42   9.88  10.32 206.8 59510800.MNS NANO 20190418050028.  276.     
 TCU103 2   90.23    0.00   5.77   5.90 204.5 20710800.MNS NANO 20190418050033.  288.     
 TCU030 3   90.28    7.84  12.42  12.62 219.3 12310800.MNS NANO 20190418050026.  311.     
 TCU166 2   90.36    5.36   6.78   7.92 120.0 B8204100.SMT SMTA 20190418050100.  257.     
