STAID	Vs30	Z1
TCU105	539.132	31
TCU106	450.9583	210
TCU107	377.827593209917	102
TCU108	256.608821097988	99
TCU109	401.168314631073	75
TCU110	199.4681	332.3
TCU111	233.4721	170
TCU112	191.2655	466.9
TCU113	231.0892	437.8
TCU114	264.6436	279.2
TCU115	184.9283	168
TCU116	463.2489	100.1
TCU117	207.168	428
TCU118	228.554	170
TCU119	222	659.7
TCU120	458.1552	58.8
TCU121	232.423	329.4
TCU122	623.58	23
TCU123	288.922383777641	123
TCU124	242	122.4
TCU125	630.45	41
TCU126	469.078966227391	24
TCU127	807.6457	29
TCU128	591.9495	21
TCU129	506.4573	10
TCU130	629.37	21
TCU131	491.4407	62
TCU132	463.022629390086	78
TCU133	424.437839598999	120
TCU134	439.61478418786	85
TCU135	619.7707	18
TCU136	458.0153	85
TCU137	533.62	28
TCU138	604.2296	134.7
TCU139	306.9525	133.1
TCU140	221.9263	554.9
TCU141	221.2226	270.9
TCU142	643.51	12
TCU143	465.9109	51
TCU144	218.533992300036	351
TCU145	222.736723271061	328
TCU146	224.976211948712	259
TCU147	538.1166	83
TCU148	513.5228	49
TCU149	250.531347619007	120
TCU150	539.962036837144	88
TCU151	462.504544979563	81
TCU152	348.113525424774	33
TCU153	504.4942	75.4058
TCU154	467.199375665089	55
TCU155	421.217454787036	64
TCU156	654.34	110
TCU157	389.71	106
TCU158	330.280305644112	177
TCU159	757.65	24
TCU160	455.729959309858	90
TCU161	662.15	12
TCU162	284.899390836997	235
TCU163	641.5	91
TCU164	345.818377762729	86
TCU165	435.831121843914	57
TCU166	480.386641663421	85.9914
TCU167	363.85	67
TCU168	476.230363623055	87.9792
TTN	491.6637	58
TTN001	484.457004440856	116
TTN002	663.93714728339	23
TTN003	508.474576271186	32
TTN004	602.68	37
TTN005	655.43	41
TTN006	698.53	39
TTN007	648.28	52
TTN008	269.611519058285	61
TTN009	266.870426417106	67
TTN010	296.30348596756	118
TTN011	445.368171021378	62
TTN012	268.112964725158	73
TTN013	268.112964725158	115
TTN014	539.6169	63.3
TTN015	491.6637	58
TTN016	842.815002107038	13.5
TTN017	875.04	13
TTN018	510.94	42
TTN019	502.42	23
TTN020	514.4474	100
TTN021	673.86	13
TTN022	503.217377747998	33
TTN023	542.2013	22
TTN024	550.1054	21
TTN025	701.0984	24.6
TTN026	736.89	20
TTN027	318.218	141
TTN028	619.834710743802	15
TTN029	519.2557	24
TTN030	688.9425	17
TTN031	512.689054088695	90
TTN032	736.105999263894	48
TTN033	660.211267605634	18
TTN034	457.491422035837	47
TTN035	519.752359205913	60
TTN036	427.034877085784	66
TTN037	738.189	52
TTN038	402.23	74
TTN040	726.5682	15
TTN041	431.5926	35
TTN042	824.5156	22.5
TTN043	490.596892886345	58
TTN044	353.3569	114
TTN045	539.471318108254	30
TTN046	529.100529100529	75
TTN047	503.26512629138	68
TTN048	733.14	25
TTN049	467.1078	193
TTN050	488.315932966219	78
TTN051	902.74	11
TTN052	679.02	13.1
TTN053	627.8121	69
TTN054	279.212110233241	125
TTN055	617.87	27
TTN056	297.604644035703	64
WGK	252.3659	149
WNT	506.4573	10
WSF	170.8915	749.1
WTC	222.8992	761.4
WTP	836.1204	9
